Customer_ID,Customer_Name,Customer_Segment,City_ID,City,State,Region
CU0001,Customer 001,Regular,C002,Mumbai,Maharashtra,West
CU0002,Customer 002,New,C012,Kochi,Kerala,South
CU0003,Customer 003,Regular,C002,Mumbai,Maharashtra,West
CU0004,Customer 004,New,C011,Indore,Madhya Pradesh,Central
CU0005,Customer 005,Premium,C012,Kochi,Kerala,South
CU0006,Customer 006,Regular,C012,Kochi,Kerala,South
CU0007,Customer 007,Regular,C013,Chandigarh,Chandigarh,North
CU0008,Customer 008,New,C007,Pune,Maharashtra,West
CU0009,Customer 009,Premium,C012,Kochi,Kerala,South
CU0010,Customer 010,Regular,C010,Lucknow,Uttar Pradesh,North
CU0011,Customer 011,Regular,C007,Pune,Maharashtra,West
CU0012,Customer 012,Regular,C004,Chennai,Tamil Nadu,South
CU0013,Customer 013,Premium,C013,Chandigarh,Chandigarh,North
CU0014,Customer 014,Premium,C013,Chandigarh,Chandigarh,North
CU0015,Customer 015,New,C011,Indore,Madhya Pradesh,Central
CU0016,Customer 016,New,C006,Kolkata,West Bengal,East
CU0017,Customer 017,Regular,C011,Indore,Madhya Pradesh,Central
CU0018,Customer 018,Regular,C012,Kochi,Kerala,South
CU0019,Customer 019,Regular,C008,Ahmedabad,Gujarat,West
CU0020,Customer 020,Premium,C001,Delhi,Delhi,North
CU0021,Customer 021,New,C014,Surat,Gujarat,West
CU0022,Customer 022,Regular,C012,Kochi,Kerala,South
CU0023,Customer 023,Regular,C014,Surat,Gujarat,West
CU0024,Customer 024,Regular,C006,Kolkata,West Bengal,East
CU0025,Customer 025,Regular,C007,Pune,Maharashtra,West
CU0026,Customer 026,Regular,C002,Mumbai,Maharashtra,West
CU0027,Customer 027,Regular,C009,Jaipur,Rajasthan,North
CU0028,Customer 028,Premium,C011,Indore,Madhya Pradesh,Central
CU0029,Customer 029,Regular,C010,Lucknow,Uttar Pradesh,North
CU0030,Customer 030,Premium,C011,Indore,Madhya Pradesh,Central
CU0031,Customer 031,Regular,C007,Pune,Maharashtra,West
CU0032,Customer 032,Regular,C013,Chandigarh,Chandigarh,North
CU0033,Customer 033,Regular,C004,Chennai,Tamil Nadu,South
CU0034,Customer 034,Regular,C011,Indore,Madhya Pradesh,Central
CU0035,Customer 035,Premium,C013,Chandigarh,Chandigarh,North
CU0036,Customer 036,Premium,C001,Delhi,Delhi,North
CU0037,Customer 037,Premium,C008,Ahmedabad,Gujarat,West
CU0038,Customer 038,Regular,C011,Indore,Madhya Pradesh,Central
CU0039,Customer 039,Regular,C008,Ahmedabad,Gujarat,West
CU0040,Customer 040,Regular,C009,Jaipur,Rajasthan,North
CU0041,Customer 041,Regular,C007,Pune,Maharashtra,West
CU0042,Customer 042,Regular,C011,Indore,Madhya Pradesh,Central
CU0043,Customer 043,Premium,C002,Mumbai,Maharashtra,West
CU0044,Customer 044,Regular,C012,Kochi,Kerala,South
CU0045,Customer 045,Regular,C002,Mumbai,Maharashtra,West
CU0046,Customer 046,Regular,C009,Jaipur,Rajasthan,North
CU0047,Customer 047,Regular,C006,Kolkata,West Bengal,East
CU0048,Customer 048,Regular,C007,Pune,Maharashtra,West
CU0049,Customer 049,Regular,C015,Nagpur,Maharashtra,Central
CU0050,Customer 050,Regular,C013,Chandigarh,Chandigarh,North
CU0051,Customer 051,Regular,C013,Chandigarh,Chandigarh,North
CU0052,Customer 052,Premium,C005,Hyderabad,Telangana,South
CU0053,Customer 053,Premium,C002,Mumbai,Maharashtra,West
CU0054,Customer 054,Premium,C009,Jaipur,Rajasthan,North
CU0055,Customer 055,Premium,C007,Pune,Maharashtra,West
CU0056,Customer 056,Regular,C007,Pune,Maharashtra,West
CU0057,Customer 057,Regular,C006,Kolkata,West Bengal,East
CU0058,Customer 058,Premium,C001,Delhi,Delhi,North
CU0059,Customer 059,Regular,C011,Indore,Madhya Pradesh,Central
CU0060,Customer 060,Regular,C007,Pune,Maharashtra,West
CU0061,Customer 061,Premium,C015,Nagpur,Maharashtra,Central
CU0062,Customer 062,Regular,C003,Bengaluru,Karnataka,South
CU0063,Customer 063,Regular,C003,Bengaluru,Karnataka,South
CU0064,Customer 064,Premium,C006,Kolkata,West Bengal,East
CU0065,Customer 065,Regular,C010,Lucknow,Uttar Pradesh,North
CU0066,Customer 066,Regular,C006,Kolkata,West Bengal,East
CU0067,Customer 067,New,C006,Kolkata,West Bengal,East
CU0068,Customer 068,Premium,C015,Nagpur,Maharashtra,Central
CU0069,Customer 069,New,C007,Pune,Maharashtra,West
CU0070,Customer 070,Premium,C004,Chennai,Tamil Nadu,South
CU0071,Customer 071,Regular,C004,Chennai,Tamil Nadu,South
CU0072,Customer 072,Regular,C011,Indore,Madhya Pradesh,Central
CU0073,Customer 073,New,C002,Mumbai,Maharashtra,West
CU0074,Customer 074,Regular,C002,Mumbai,Maharashtra,West
CU0075,Customer 075,Regular,C011,Indore,Madhya Pradesh,Central
CU0076,Customer 076,Regular,C004,Chennai,Tamil Nadu,South
CU0077,Customer 077,New,C009,Jaipur,Rajasthan,North
CU0078,Customer 078,Premium,C003,Bengaluru,Karnataka,South
CU0079,Customer 079,Regular,C008,Ahmedabad,Gujarat,West
CU0080,Customer 080,Premium,C011,Indore,Madhya Pradesh,Central
CU0081,Customer 081,Premium,C003,Bengaluru,Karnataka,South
CU0082,Customer 082,Regular,C009,Jaipur,Rajasthan,North
CU0083,Customer 083,Regular,C012,Kochi,Kerala,South
CU0084,Customer 084,Regular,C007,Pune,Maharashtra,West
CU0085,Customer 085,Regular,C003,Bengaluru,Karnataka,South
CU0086,Customer 086,Regular,C005,Hyderabad,Telangana,South
CU0087,Customer 087,Regular,C003,Bengaluru,Karnataka,South
CU0088,Customer 088,New,C009,Jaipur,Rajasthan,North
CU0089,Customer 089,Regular,C015,Nagpur,Maharashtra,Central
CU0090,Customer 090,Regular,C009,Jaipur,Rajasthan,North
CU0091,Customer 091,New,C005,Hyderabad,Telangana,South
CU0092,Customer 092,Regular,C001,Delhi,Delhi,North
CU0093,Customer 093,Regular,C008,Ahmedabad,Gujarat,West
CU0094,Customer 094,Regular,C012,Kochi,Kerala,South
CU0095,Customer 095,New,C011,Indore,Madhya Pradesh,Central
CU0096,Customer 096,Regular,C008,Ahmedabad,Gujarat,West
CU0097,Customer 097,Regular,C009,Jaipur,Rajasthan,North
CU0098,Customer 098,Regular,C008,Ahmedabad,Gujarat,West
CU0099,Customer 099,Regular,C009,Jaipur,Rajasthan,North
CU0100,Customer 100,Regular,C008,Ahmedabad,Gujarat,West
CU0101,Customer 101,New,C006,Kolkata,West Bengal,East
CU0102,Customer 102,Regular,C013,Chandigarh,Chandigarh,North
CU0103,Customer 103,Regular,C005,Hyderabad,Telangana,South
CU0104,Customer 104,Premium,C009,Jaipur,Rajasthan,North
CU0105,Customer 105,Premium,C002,Mumbai,Maharashtra,West
CU0106,Customer 106,Premium,C005,Hyderabad,Telangana,South
CU0107,Customer 107,Regular,C015,Nagpur,Maharashtra,Central
CU0108,Customer 108,New,C012,Kochi,Kerala,South
CU0109,Customer 109,Regular,C015,Nagpur,Maharashtra,Central
CU0110,Customer 110,Regular,C004,Chennai,Tamil Nadu,South
CU0111,Customer 111,Premium,C009,Jaipur,Rajasthan,North
CU0112,Customer 112,Premium,C006,Kolkata,West Bengal,East
CU0113,Customer 113,New,C015,Nagpur,Maharashtra,Central
CU0114,Customer 114,Regular,C005,Hyderabad,Telangana,South
CU0115,Customer 115,Regular,C010,Lucknow,Uttar Pradesh,North
CU0116,Customer 116,New,C008,Ahmedabad,Gujarat,West
CU0117,Customer 117,Regular,C003,Bengaluru,Karnataka,South
CU0118,Customer 118,Regular,C003,Bengaluru,Karnataka,South
CU0119,Customer 119,New,C015,Nagpur,Maharashtra,Central
CU0120,Customer 120,Premium,C015,Nagpur,Maharashtra,Central
CU0121,Customer 121,New,C013,Chandigarh,Chandigarh,North
CU0122,Customer 122,Regular,C014,Surat,Gujarat,West
CU0123,Customer 123,Premium,C008,Ahmedabad,Gujarat,West
CU0124,Customer 124,Premium,C005,Hyderabad,Telangana,South
CU0125,Customer 125,Regular,C007,Pune,Maharashtra,West
CU0126,Customer 126,Premium,C006,Kolkata,West Bengal,East
CU0127,Customer 127,New,C006,Kolkata,West Bengal,East
CU0128,Customer 128,Regular,C004,Chennai,Tamil Nadu,South
CU0129,Customer 129,Premium,C001,Delhi,Delhi,North
CU0130,Customer 130,Regular,C002,Mumbai,Maharashtra,West
CU0131,Customer 131,Regular,C012,Kochi,Kerala,South
CU0132,Customer 132,New,C003,Bengaluru,Karnataka,South
CU0133,Customer 133,Regular,C001,Delhi,Delhi,North
CU0134,Customer 134,Premium,C003,Bengaluru,Karnataka,South
CU0135,Customer 135,Regular,C005,Hyderabad,Telangana,South
CU0136,Customer 136,Regular,C015,Nagpur,Maharashtra,Central
CU0137,Customer 137,Regular,C015,Nagpur,Maharashtra,Central
CU0138,Customer 138,Regular,C001,Delhi,Delhi,North
CU0139,Customer 139,Regular,C001,Delhi,Delhi,North
